name,info,description,url
ALA 103. Michigan Community Scholars Program: Academic Decision Making,Admission to the Michigan Community Scholars Program. (1). May not be repeated for credit. Offered mandatory credit/no credit.,This course will provides participants in the Michigan Community Scholars Program with an opportunity to critically review the roles of leadership and decision making related to their academic and professional careers.  It allows students to consider various theoretical perspectives and link them to civic responsibility and social change.,"['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=103', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=103']"
ALA 104. Introduction to Research,Participant in Michigan Research and Discovery Scholars. (1). May not be repeated for credit.,"This one-credit course is required for all first-year students enrolled in the MRADS. In preparation for a year-long research project, students are introduced to research ethics and exposed to a variety of different research methodologies employed in disciplines across campus. Students examine the building blocks for critical thinking skills through reading assignments and classroom activities. They learn how to read professional journal articles, formulate questions, and how to evaluate arguments and evidence. Small group activities focus on team work and oral communication skills necessary to be successful in the classroom, research lab, and work place.","['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=104', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=104', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=104']"
ALA 105. Digital Research:  Critical Concepts and Strategies,"(1). May not be repeated for credit. No credit granted to those who have completed or are enrolled in UC 170, UC 174, UC 175-176, or UC 177 or ALA 105. Offered mandatory credit/no credit.","This hands-on computer lab will help students lay a solid foundation for success in all current and future academic research. With an emphasis on the wealth of digital resources now available, the material focuses on information discovery and management skills, expands knowledge of scholarly sources, and promotes critical thinking. Specific topics include resource availability, source selection, search strategies, content evaluation, referencing, and academic integrity. Taught by a University librarian, the interactive format allows students to learn via database searches, group discussion, and case studies. Students work individually and collaboratively on reports, reading assignments, and projects.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=105', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=105', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=105', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=105', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=105', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=105']"
ALA 106. Health Sciences Scholars Program:  Perspectives on Health and Health Care,Restricted to students enrolled in the Health Sciences Scholars Program. (3). (ID). May not be repeated for credit.,"This course provides an overview of major current health and health care issues. Students exchange ideas and experiences with faculty from a broad spectrum of health-related fields. Faculty engage the students in consideration of the cultural, political, socioeconomic, and personal dimensions of health as well as the options and issues facing those who manage, provide, and evaluate healthcare. This is the first of two core courses for students in the Health Sciences Scholars Program and is open only to students in HSSP.","['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=106', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=106', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=106']"
ALA 107. Women in Science and Engineering Residence Program Seminar,Participant in the WISE Residence Program. (1). May not be repeated for credit.,"The Women in Science and Engineering Residence Program Seminar is a required one-credit course for all first-year students enrolled in the WISE RP. Through a combination of short lectures and classroom activities it exposes students to the intellectual life at the University of Michigan and what it means to pursue a liberal arts education. Selected faculty members share their current research with students as well as their career paths and professional development. In addition, students learn the building blocks for critical thinking skills through reading assignments and classroom activities. Students also learn how to read professional journal articles, formulate questions, and evaluate arguments and evidence. Small group activities focus on team work and the oral communication skills necessary to be successful in the classroom, research lab, and work place.","['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=107', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=107', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=107']"
ALA 108. STEM Challenges/STEM Success,Completion of UC 107. (Prerequisites enforced at registration.) Participation in the WISE Residence Program. (1). May not be repeated for credit.,"This course is a follow up to UC 107. Students will continue to explore many of the STEM disciplines and the key areas of focus within each discipline. In addition, students will learn the key components of researching a topic, including locating academic sources, reading and analyzing those sources and presenting their findings.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=108', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=108', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=108']"
ALA 109. Perspectives on Health Care,Restricted to students enrolled in the Health Sciences Scholars Program. (3). (ID). (R&E). May not be repeated for credit.,"ALA 109 is a continuation of ALA 106.  It provides students with an overview of the cultural, socioeconomic, and political dimensions of health, encourages the development of an individual model of health, and provides a realistic perspective on various disciplines in the health sciences.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=109', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=109', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=109']"
ALA 115. The Financially Savvy Student,"Students cannot enroll if they have alreaday completed UC 170, Topic Title ""The Financially Savvy Student"". (Prerequisites enforced at registration.) (1 in the half-term). May not be repeated for credit. Offered mandatory credit/no credit.","Students in the class will develop skills in managing money, making choices, and planning for the future, including: safe and smart use of credit and debit cards; developing personal monthly budgets and financial self-assessments; leveraging financial aid and scholarships; and funding study abroad, spring break, research, and internships.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=115', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=115', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=115', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=115', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=115', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=115']"
"ALA 118 / SI 106. Programs, Information and People",May not be repeated for credit.,"Introduction to programming with a focus on applications in informatics.  Covers the fundamental elements of a modern programming language and how to access data on the internet.  Explores how humans and technology complement one another, including techniques used to coordinate groups of people working together on software development.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=118', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=118', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=118']"
ALA 122 / PSYCH 122 / SOC 122. Intergroup Dialogues,Consent of instructor required. (2). May be repeated for a maximum of 6 credits.,"In a multicultural society, discussions about issues of conflict and community are needed to facilitate understanding between social/cultural groups. In this intergroup dialogue, students will participate in semi-
structured face-to-face meetings across social identity groups. Students will discuss relevant reading material and will explore group experiences in various social and institutional contexts. Participants will examine narratives and historical, psychological, and sociological materials. Students will participate in exercises that will be debriefed in class and in weekly journals. Students will learn about pertinent issues facing the participating groups on campus and in society. The goal is to create a setting in which students engage in open and constructive dialogue, learning, and exploration concerning issues of intergroup relations, conflict, and community.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=122', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=122', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=122', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=122', 'SP 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2230&cgtype=ug&show=20&department=ALA&catalog=122', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=122', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=122']"
ALA 125. Positioning Yourself for a Successful Internship,Consent of department required. (1 in the half-term). May not be repeated for credit. Offered mandatory credit/no credit.,"This one-credit course will provide you with the skills to make yourself competitive for internships, as well as the opportunity to identify your strengths and see the connections between your academic interests and your career exploration. Much of the course work will focus on your representation of yourself, including effective and dynamic communication strategies, developing presentation materials, using LinkedIn, and building networking and interviewing skills.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=125', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=125', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=125', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=125', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=125', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=125']"
ALA 160. Humanities Topics in ALA,(1 - 4). (HU). May be repeated for a maximum of 9 credits. May be elected more than once in the same term.,This course is intended to house Humanities courses that do not fit into any specific department or courses taught by non-LSA faculty from various units across the university.,[]
ALA 161. Social Science Topics in ALA,(1 - 4). (SS). May be repeated for a maximum of 9 credits. May be elected more than once in the same term.,This course is intended to house Social Science courses that do not fit into any specific department or courses taught by non-LSA faculty from various units across the university.,[]
ALA 162. Natural Science Topics in ALA,(1 - 4). (NS). (BS). May be repeated for a maximum of 9 credits. May be elected more than once in the same term.,This course is intended to house Natural Science courses that do not fit into any specific department or courses taught by non-LSA faculty from various units across the university.,[]
ALA 164. Interdisciplinary Studies Topics in ALA,(1 - 4). (ID). May be repeated for a maximum of 9 credits. May be elected more than once in the same term.,This course is intended to house Interdisciplinary Studies courses that do not fit into any specific department or courses taught by non-LSA faculty from various units across the university.,[]
ALA 170. Applied Liberal Arts Topics,(1 - 3). May be elected four times for credit. May be elected more than once in the same term. Offered mandatory credit/no credit.,This course examines select topics in applied liberal arts.,"['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=170', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=170', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=170', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=170']"
ALA 171. Making the Most of Michigan,(1 in the half-term). May not be repeated for credit. Offered mandatory credit/no credit.,"""Making the Most of Michigan and Beyond"" will focus on skills for transitioning during college and beyond. The course is taught in the residence halls and covers integrating in-class and out-of-class experiences, identifying and setting short-term and long-term goals, and utilizing social and intellectual diversity to become intentional, self-directed learners. Launch your undergraduate career and explore the processes for successful learning in college and beyond.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=171', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=171', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=171', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=171', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=171', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=171']"
ALA 175. BLI Leadership Lab,"Students must be a Barger Leadership Lab Member (they must complete a short online form stating their intent to become a member). No credit granted to those who have completed this course as ALA 170, topic #1, 2, or 3 (BLI Leadership Lab, BLI Peer FAC Training, or BLI Peer Leader). (Prerequisites enforced at registration.) (1). May not be repeated for credit. Offered mandatory credit/no credit.",This interactive class is designed to help participants develop the skills and confidence they need to grow as leaders. Group exercises and a self-designed team project allow them to practice and reflect on key leadership roles.,"['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=175', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=175', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=175', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=175']"
"ALA 206. Health Career Mentorship, Experiences, and Reflections",Consent of instructor required. (1). May not be repeated for credit.,"In this course, students will explore mentorship and observation in various health careers. This course will expand upon the observation activities introduced the previous year in ALA 106 and 109. Students will be paired with health-care professionals for mentorship and guidance. These relationships and experiences will serve as catalysts for self-reflection, helping students to better understand how various career paths intersect with their personal values, motivations, and skill sets.","['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=206', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=206']"
ALA 209. International Perspectives on Health and Health Care Topics,Consent of instructor required. (2 - 4). (ID). May be elected twice for credit.,"In this topics course, students explore health care systems and different cultural perspectives of health in a country outside of the USA. The course is attached to a CGIS study abroad opportunity in a specific country each spring and/or summer.",[]
ALA 210. Defining Critical Global Issues,Consent of department required. (2). May not be repeated for credit.,"This is the fall component of the sequence required for GSP students, only available to students in GSP. Through this course, students critically explore global justice issues through a multicultural perspective. Key elements: guest lectures, Model United Nations simulations, dialogues, and internship with an NGO done as a Collaborative Group.","['FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=210', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=210', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=210']"
ALA 211. Addressing Critical Global Issues,Consent of instructor required. (2). May not be repeated for credit.,"This is the winter component of the sequence required for GSP students, only available to students in GSP. Through this course, students critically explore global justice issues through a multicultural perspective. Key elements: guest lectures, Model United Nations simulations, dialogues, and internship with an NGO done as a Collaborative Group.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=211', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=211', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=211']"
ALA 212. Practicum: Facilitating Global Engagement,(1). (EXPERIENTIAL). May not be repeated for credit.,"This is the required facilitation training course for GSP students, only available to students in GSP. This course will provide Rising Peer Facilitators with the necessary knowledge and skills to facilitate multicultural group interactions and become more engaged contributors to our diverse society.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=212', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=212', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=212']"
ALA 220 / PSYCH 213 / SOC 218. Foundations of Intergroup Relations,"No credit granted if you've already taken ALA 220, SOC 218, or PSYCH 218 with the topic ""Foundations in Intergroup Relations (#2). (Prerequisites enforced at registration.) (3). (SS). (R&E). May not be repeated for credit.","This introductory course examines the theory behind how social identity groups form, how bias develops (prejudice, stereotyping, and discrimination), and how people come to understand their own social identity group membership in the context of a society where privilege and power exist.  Students can expect to participate in class through individual and group projects as well as class discussion.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=220', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=220', 'SU 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2300&cgtype=ug&show=20&department=ALA&catalog=220', 'SP 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2280&cgtype=ug&show=20&department=ALA&catalog=220', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=220', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=220', 'SP 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2230&cgtype=ug&show=20&department=ALA&catalog=220', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=220', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=220']"
ALA 222. Twenty Two Ways,(3). (ID). May be elected twice for credit. May be elected more than once in the same term.,"This topics course, designed for sophomore exploration, provides a multidisciplinary investigation of natural science, social science, and humanities approaches to issues surrounding food. Featuring single lectures from the College's best teachers, the course offers students perspectives on health, environment, social relations, economics, politics, and culture.",[]
ALA 223 / PSYCH 223. Entrepreneurial Creativity,"No credit is granted for students who previously took UC 270 with the topic ""Entrepreneurial Creativity"" (#27). (Prerequisites enforced at registration.) (3). May not be repeated for credit.","This class was created to serve as the LS&A core course for the Entrepreneurship minor, and explores the relation between creativity, innovation, and problem-solving processes. We will consider the elements of creative thinking, explore insights from a variety of perspectives, and engage in projects designed to foster students' own creativity and innovation.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=223', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=223', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=223', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=223', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=223', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=223']"
ALA 225. Undergraduate Internship,Consent of department required. (1). (EXPERIENTIAL). May be repeated for a maximum of 2 credits. May be elected more than once in the same term. Offered mandatory credit/no credit.,"In ALA 225 students will integrate academic and experiential learning through an internship experience. This course is designed to ensure students fully prepare to engage in all learning aspects of their internship and gain credit for the academic requirements associated with the course. ALA 225 offers a framework within which a student can maximize the learning environment at the external worksite and connect their experiential learning to their undergraduate education In this course, you will: - Establish goals and prepare for your internship experience - Document your experiences and initial reactions to professional settings through a personal blog - Develop skills for framing your internship experience and plan for your next internship opportunity For instructions about how to register for ALA 225, please visit the academic credit page on the LSA Internship Program website.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=225', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=225', 'SU 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2300&cgtype=ug&show=20&department=ALA&catalog=225', 'SS 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2290&cgtype=ug&show=20&department=ALA&catalog=225', 'SP 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2280&cgtype=ug&show=20&department=ALA&catalog=225', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=225', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=225', 'SU 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2250&cgtype=ug&show=20&department=ALA&catalog=225', 'SS 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2240&cgtype=ug&show=20&department=ALA&catalog=225', 'SP 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2230&cgtype=ug&show=20&department=ALA&catalog=225', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=225', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=225']"
"ALA 228 / PSYCH 312 / SOC 375. Intergroup Conflict and Coexistence:  Religion, Ethnicity and Culture",(3). May not be repeated for credit.,"This course examines examples of social conflict based on religion, ethnicity and culture, interdisciplinary theories that help to understand the nature of such conflict, and current coalition building and coexistence work among various religious, ethnic and cultural groups. Experiential activities enhance learning about intergroup conflict and coexistence work.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=228', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=228', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=228', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=228']"
ALA 230. STEM Transitions: Strategies for STEM Success,(1). May not be repeated for credit.,This course is for transfer students interested in pursuing STEM majors. Our aim is to help students successfully transition to STEM classes and the UM community. We will examine key differences in how STEM classes are taught here and provide the tools to succeed inside and outside the classroom.,"['FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=230', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=230', 'FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=230']"
ALA 238 / EARTH 238 / ENVIRON 238 / HISTORY 238 / MIDEAST 278. Zoom:  A History of Everything,(4; 3 - 4 in the half-term). (ID). May not be repeated for credit.,"This interdisciplinary course in ""Big History"" integrates the human story with its terrestrial and cosmic surroundings.  It uses the notion of ""powers of ten"" to shift perspectives in space and time.  It proceeds logarithmically, ""nesting"" each topic (and disciplinary perspective) within its predecessor, from astrophysics to history and back again.",[]
ALA 240. Living Well in College and Beyond,(2). May not be repeated for credit.,"This class will focus on exploring the eight dimensions of personal well-being through a lens of positive psychology, motivation, and social justice. Students will explore the ways that well-being is dynamic and interdependent, and will learn how to integrate well-being with success.","['WN 2021 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2320&cgtype=ug&show=20&department=ALA&catalog=240', 'FA 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2310&cgtype=ug&show=20&department=ALA&catalog=240', 'WN 2020 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2270&cgtype=ug&show=20&department=ALA&catalog=240', 'FA 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2260&cgtype=ug&show=20&department=ALA&catalog=240', 'WN 2019 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2220&cgtype=ug&show=20&department=ALA&catalog=240']"
ALA 250. Topics in Critical Issues,"Students cannot enroll if they have already completed 4 instances of ALA 250 or UC 270, Topic Titles Critical Issues in Education, Critical Issues in Health, Critical Issues in Sustainability, or Critical Issues in Detroit . (Prerequisites enforced at registration.) (1). May be repeated for a maximum of 4 credits. May be elected more than once in the same term.","The Critical Issues minicourses feature expert speakers from campus and beyond, with each speaker introducing a pressing issue facing society and challenging students to design creative solutions. This 1-credit mini course is part of the Critical Issues Series presented by optiMize Social Innovation.",['FA 2018 - http://www.lsa.umich.edu/cg/cg_results.aspx?termArray=x_xx_2210&cgtype=ug&show=20&department=ALA&catalog=250']
